name,arabidopsis_gene,isTF,isTR,gene_annotation
LOC111983051,AT3G04490,0,0,No Description available
LOC111983052,AT5G01090,0,0,L-type lectin-domain containing receptor kinase VIII.1
LOC111983053,AT5G04600,0,0,No Description available
LOC111983054,AT1G74270,0,0,large ribosomal subunit protein eL33y
LOC111983055,AT2G23070,0,0,casein kinase II subunit alpha
LOC111983056,AT3G14470,0,0,putative disease resistance protein RGA3
LOC111983057,AT3G14470,1,0,No Description available
LOC111983059,AT2G39890,0,0,proline transporter 2
LOC111983060,AT1G16770,0,0,No Description available
LOC111983061,AT2G37975,0,0,No Description available
LOC111983064,AT1G45160,0,0,probable serine/threonine protein kinase IRE4
LOC111983067,AT5G59300,0,0,ubiquitin-conjugating enzyme E2 7-like
LOC111983070,AT3G22200,0,0,"gamma aminobutyrate transaminase 3, chloroplastic"
LOC111983073,AT5G03680,1,0,trihelix transcription factor PTL
LOC111983077,AT3G22170,1,0,protein FAR-RED ELONGATED HYPOCOTYL 3
LOC111983078,AT5G02560,0,0,probable histone H2A.2
LOC111983079,AT4G15090,1,0,protein FAR-RED IMPAIRED RESPONSE 1
LOC111983080,AT4G15110,0,0,"cytochrome P450 97B2, chloroplastic"
LOC111983081,AT4G15080,0,0,probable protein S-acyltransferase 19
LOC111983082,AT1G15980,0,0,"photosynthetic NDH subunit of subcomplex B 1, chloroplastic"
LOC111983083,AT2G32250,1,0,protein FAR1-RELATED SEQUENCE 2
LOC111983086,AT2G35720,0,0,chaperone protein dnaJ 13
LOC111983087,AT4G16570,0,0,protein arginine N-methyltransferase 1.6
LOC111983088,AT4G16566,0,0,bifunctional adenosine 5'-phosphosulfate phosphorylase/adenylylsulfatase HINT4
LOC111983091,--,0,0,No Description available
LOC111983092,AT3G57810,0,0,No Description available
LOC111983093,--,0,0,No Description available
LOC111983095,AT2G20830,0,0,No Description available
LOC111983096,AT2G20830,0,0,No Description available
LOC111983097,AT2G20820,0,0,No Description available
LOC111983100,--,0,0,histidine-containing phosphotransfer protein 1
LOC111983101,AT3G57810,0,0,No Description available
LOC111983104,AT3G19430,0,0,No Description available
LOC111983110,AT3G15690,0,0,No Description available
LOC111983111,AT5G04560,0,0,transcriptional activator DEMETER
LOC111983113,AT3G15680,0,0,No Description available
LOC111983118,AT4G33800,0,0,protein SOB FIVE-LIKE 5
LOC111983121,AT1G53350,0,0,disease resistance protein RPM1
LOC111983123,AT5G04560,0,0,transcriptional activator DEMETER
LOC111983124,AT4G00755,0,0,F-box protein At4g00755
LOC111983133,AT3G06580,0,0,galactokinase
LOC111983134,AT4G16280,0,0,flowering time control protein FCA
LOC111983139,AT5G49480,0,0,calcium-binding protein CP1
LOC111983140,AT5G49010,0,0,DNA replication complex GINS protein SLD5
LOC111983141,AT4G21800,0,0,GPN-loop GTPase QQT2
LOC111983142,AT3G06590,0,0,transcription factor bHLH147
LOC111983143,AT5G49520,1,0,probable WRKY transcription factor 48
LOC111983144,--,0,0,No Description available
LOC111983145,AT5G04660,0,0,cytochrome P450 77A3
LOC111983146,AT5G49510,0,0,prefoldin subunit 3
LOC111983147,--,0,0,No Description available
LOC111983149,AT5G19420,0,0,"PH, RCC1 and FYVE domains-containing protein 1"
LOC111983151,AT2G38100,0,0,protein NRT1/ PTR FAMILY 5.5
LOC111983152,AT1G80840,1,0,probable WRKY transcription factor 40
LOC111983153,AT3G09030,0,0,protein ENDOPLASMIC RETICULUM-ARRESTED PEN3
LOC111983154,AT3G07870,0,0,putative F-box protein At3g16210
LOC111983155,AT4G00430,0,0,aquaporin PIP1-2
LOC111983156,AT2G38110,0,0,glycerol-3-phosphate 2-O-acyltransferase 6
LOC111983158,AT5G17620,0,0,AUGMIN subunit 7
LOC111983159,--,0,0,No Description available
LOC111983160,--,0,0,elicitor-responsive protein 1
LOC111983161,AT2G28950,0,0,expansin-A6
LOC111983163,AT5G02100,0,0,oxysterol-binding protein-related protein 3A
LOC111983164,AT3G53780,0,0,RHOMBOID-like protein 4
LOC111983165,AT1G07570,0,0,receptor-like cytoplasmic kinase 176
LOC111983167,AT5G02250,0,0,"ribonuclease II, chloroplastic/mitochondrial"
LOC111983169,AT1G09900,0,0,pentatricopeptide repeat-containing protein At1g09900
LOC111983170,AT1G80860,0,0,phosphatidyl-N-methylethanolamine N-methyltransferase
LOC111983171,AT1G09930,0,0,oligopeptide transporter 2
LOC111983172,AT4G05320,0,0,polyubiquitin
LOC111983175,AT1G24530,0,0,protein JINGUBANG
LOC111983177,AT2G03220,0,0,galactoside 2-alpha-L-fucosyltransferase
LOC111983178,AT5G50260,0,0,vignain
LOC111983179,AT5G36930,0,0,disease resistance protein RPV1
LOC111983180,AT1G75150,0,0,transcriptional regulator IFH1
LOC111983186,AT1G18700,0,0,No Description available
LOC111983187,AT1G26550,0,0,No Description available
LOC111983188,AT1G67785,0,0,No Description available
LOC111983190,AT2G34520,0,0,small ribosomal subunit protein uS14m
LOC111983193,AT5G54110,0,0,vesicle-associated protein 4-1
LOC111983196,AT4G27360,0,0,No Description available
LOC111983197,AT4G27350,0,0,No Description available
LOC111983198,AT5G14090,0,0,protein LAZY 1
LOC111983199,AT5G13080,1,0,probable WRKY transcription factor 75
LOC111983200,AT5G04610,0,0,No Description available
LOC111983201,AT5G13090,0,0,No Description available
LOC111983202,AT1G67320,0,0,No Description available
LOC111983203,AT3G61460,0,0,brassinosteroid-responsive RING protein 1
LOC111983206,AT1G27980,0,0,sphingosine-1-phosphate lyase
LOC111983207,AT5G50670,1,0,squamosa promoter-binding-like protein 16
LOC111983208,AT1G24267,0,0,No Description available
LOC111983209,AT4G12560,0,0,F-box protein CPR1
LOC111983210,AT4G19050,0,0,putative disease resistance protein At4g19050
LOC111983211,AT1G09010,0,0,mannosylglycoprotein endo-beta-mannosidase
LOC111983212,AT5G64700,0,0,WAT1-related protein At5g64700
LOC111983213,AT4G12560,0,0,F-box protein CPR1
LOC111983215,AT5G45540,0,0,No Description available
LOC111983218,AT5G47310,0,0,deSI-like protein At4g17486
LOC111983219,AT3G45660,0,0,protein NRT1/ PTR FAMILY 2.6
LOC111983221,--,0,0,RING-H2 finger protein ATL22
LOC111983223,AT4G12560,0,0,F-box protein CPR1
LOC111983224,AT4G12560,0,0,F-box protein CPR1
LOC111983228,AT5G42470,0,0,No Description available
LOC111983232,AT1G30755,0,0,protein PSK SIMULATOR 2
LOC111983239,AT3G61850,1,0,dof zinc finger protein DOF2.5
LOC111983240,AT4G00910,0,0,aluminum-activated malate transporter 10
LOC111983242,--,0,0,"ATP synthase delta chain, chloroplastic"
LOC111983245,AT3G18750,0,0,probable serine/threonine-protein kinase WNK7
LOC111983246,AT3G61860,0,0,serine/arginine-rich splicing factor RS31
LOC111983248,AT4G00900,0,0,"calcium-transporting ATPase, endoplasmic reticulum-type"
LOC111983249,AT1G20780,0,0,U-box domain-containing protein 24
LOC111983250,AT1G01225,0,0,protein LEAD-SENSITIVE 1
LOC111983251,AT2G46600,0,0,calcium-binding protein KIC
LOC111983252,AT1G11300,0,0,G-type lectin S-receptor-like serine/threonine-protein kinase At1g11300
LOC111983253,AT5G08510,0,0,pentatricopeptide repeat-containing protein At5g08510
LOC111983254,AT4G27745,0,0,protein yippee-like At4g27745
LOC111983255,--,0,0,No Description available
LOC111983256,AT5G16420,0,0,"pentatricopeptide repeat-containing protein At5g16420, mitochondrial"
LOC111983257,AT1G01220,0,0,bifunctional fucokinase/fucose pyrophosphorylase
LOC111983259,AT1G01230,0,0,No Description available
LOC111983263,AT2G34930,0,0,receptor-like protein EIX2
LOC111983268,AT5G38240,0,0,LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.2
LOC111983271,AT1G32530,0,0,MND1-interacting protein 1
LOC111983273,AT2G35930,0,0,E3 ubiquitin-protein ligase PUB23
LOC111983275,--,0,0,No Description available
LOC111983276,--,0,0,No Description available
LOC111983277,AT5G62200,0,0,embryo-specific protein ATS3B
LOC111983281,AT5G23710,0,0,No Description available
LOC111983282,AT1G15370,0,0,No Description available
LOC111983283,--,0,0,No Description available
LOC111983284,AT2G36790,0,0,UDP-glycosyltransferase 73C12
LOC111983285,AT5G24080,0,0,G-type lectin S-receptor-like serine/threonine-protein kinase LECRK3
LOC111983286,--,0,0,No Description available
LOC111983287,AT1G16180,0,0,No Description available
LOC111983323,AT1G16880,0,0,ACT domain-containing protein ACR11
LOC111983334,AT1G79650,0,0,ubiquitin receptor RAD23b
LOC111983345,AT4G38380,0,0,"protein DETOXIFICATION 45, chloroplastic"
LOC111983369,AT1G19250,0,0,probable flavin-containing monooxygenase 1
LOC111983391,AT1G79810,0,0,peroxisome biogenesis protein 2
LOC111983502,AT2G18170,0,0,mitogen-activated protein kinase 7
LOC111983683,AT5G01420,0,0,No Description available
LOC111983684,AT2G38680,0,0,No Description available
LOC111983686,AT3G28720,0,0,No Description available
LOC111983692,--,0,0,No Description available
LOC111983693,AT2G27760,0,0,tRNA dimethylallyltransferase 2
LOC111983695,AT5G12370,0,0,exocyst complex component SEC10b
LOC111983696,AT2G38960,0,0,endoplasmic reticulum oxidoreductin-2
LOC111983697,AT3G61520,0,0,"pentatricopeptide repeat-containing protein At3g61520, mitochondrial"
LOC111983699,AT4G01250,1,0,WRKY transcription factor 22
LOC111983704,AT3G61540,0,0,No Description available
LOC111983705,AT2G46110,0,0,"3-methyl-2-oxobutanoate hydroxymethyltransferase 1, mitochondrial"
LOC111983706,--,0,0,No Description available
LOC111983707,AT2G31280,0,0,transcription factor bHLH155
LOC111983709,--,0,0,No Description available
LOC111983710,AT4G31940,0,0,cytochrome P450 CYP82J17
LOC111983711,AT4G08850,0,0,MDIS1-interacting receptor like kinase 2-like
LOC111983716,AT3G26750,0,0,No Description available
LOC111983720,AT4G14420,0,0,No Description available
LOC111983932,--,0,0,No Description available
LOC111983933,AT3G15670,0,0,late embryogenesis abundant protein 2
LOC111983935,AT1G80210,0,0,No Description available
LOC111983938,--,0,0,No Description available
LOC111983940,AT3G22100,1,0,transcription factor bHLH117
LOC111983942,--,0,0,No Description available
LOC111983950,AT5G28150,0,0,No Description available
LOC111983959,AT3G53480,0,0,pleiotropic drug resistance protein 3
LOC111983960,AT3G04890,0,0,No Description available
LOC111983961,AT3G04870,0,0,"zeta-carotene desaturase, chloroplastic/chromoplastic"
LOC111983962,AT5G54650,0,0,formin-like protein 3
LOC111983963,AT3G04880,0,0,DNA damage-repair/toleration protein DRT102
LOC111983964,AT3G57710,0,0,serine/threonine-protein kinase ZRK1
LOC111983967,AT3G16710,0,0,"putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial"
LOC111983968,AT1G61730,1,0,STOREKEEPER protein
LOC111983969,--,0,0,No Description available
LOC111983972,AT2G32280,0,0,protein VASCULATURE COMPLEXITY AND CONNECTIVITY
LOC111983974,AT3G18020,0,0,pentatricopeptide repeat-containing protein At3g18020
LOC111983976,AT1G22150,0,0,sulfate transporter 1.3
LOC111983981,AT3G14470,0,0,putative disease resistance protein RGA1
LOC111983996,AT5G48100,0,0,putative laccase-1
LOC111983999,AT1G11290,0,0,pentatricopeptide repeat-containing protein At3g12770
LOC111984000,AT2G45510,0,0,cytochrome P450 704C1
LOC111984001,AT1G09970,0,0,receptor-like protein kinase 7
LOC111984015,AT3G14470,0,0,putative disease resistance RPP13-like protein 1
LOC111984019,--,0,0,proline-rich extensin-like protein EPR1
LOC111984035,AT3G51550,0,0,receptor-like protein kinase FERONIA
LOC111984038,AT3G51550,0,0,receptor-like protein kinase FERONIA
LOC111984049,AT5G38280,0,0,rust resistance kinase Lr10-like
LOC111984051,AT1G66920,0,0,rust resistance kinase Lr10
LOC111984052,AT1G68370,0,0,chaperone protein dnaJ 15
LOC111984053,AT3G18290,0,0,zinc finger protein BRUTUS
LOC111984055,AT1G68360,0,0,zinc finger protein GIS3
LOC111984059,AT3G19180,0,0,"plastid division protein CDP1, chloroplastic"
LOC111984060,--,0,0,No Description available
LOC111984061,AT1G73390,0,0,No Description available
LOC111984066,AT1G22370,0,0,7-deoxyloganetic acid glucosyltransferase
LOC111984067,AT1G22370,0,0,7-deoxyloganetic acid glucosyltransferase
LOC111984069,AT1G22370,0,0,7-deoxyloganetic acid glucosyltransferase
LOC111984076,AT3G11340,0,0,UDP-glycosyltransferase 76B1
LOC111984077,AT5G05940,0,0,rop guanine nucleotide exchange factor 5
LOC111984079,AT5G05950,0,0,No Description available
LOC111984080,AT3G55700,0,0,UDP-glycosyltransferase 76F1
LOC111984081,AT3G55700,0,0,UDP-glycosyltransferase 76B1
LOC111984082,AT2G39870,0,0,No Description available
LOC111984084,AT5G05930,0,0,guanylyl cyclase 1
LOC111984086,AT3G14470,0,0,putative disease resistance RPP13-like protein 1
LOC111984090,AT5G52560,0,0,UDP-sugar pyrophosphorylase
LOC111984094,AT3G57120,0,0,lysM domain receptor-like kinase 3
LOC111984095,AT2G45440,0,0,"4-hydroxy-tetrahydrodipicolinate synthase, chloroplastic-like"
LOC111984101,AT5G58420,0,0,small ribosomal subunit protein eS4x
LOC111984102,AT3G53170,0,0,pentatricopeptide repeat-containing protein At3g53170
LOC111984103,AT2G44860,0,0,probable ribosome biogenesis protein RLP24
LOC111984107,AT3G23510,0,0,No Description available
LOC111984108,--,0,0,No Description available
LOC111984115,AT3G59540,0,0,large ribosomal subunit protein eL38z/eL38y
LOC111984116,AT2G38620,0,0,cell division control protein 2 homolog C
LOC111984117,AT3G23590,0,0,mediator of RNA polymerase II transcription subunit 33A
LOC111984118,AT2G38630,0,0,No Description available
LOC111984120,AT1G16250,0,0,F-box/kelch-repeat protein At1g16250
LOC111984122,AT3G17611,0,0,"rhomboid-like protein 14, mitochondrial"
LOC111984129,AT5G51550,0,0,protein EXORDIUM-like 3
LOC111984130,AT4G25280,0,0,UMP-CMP kinase
LOC111984132,AT5G62310,0,0,probable serine/threonine protein kinase IRE
LOC111984133,AT1G48350,0,0,large ribosomal subunit protein uL18c
LOC111984135,AT2G39840,0,0,serine/threonine-protein phosphatase PP1
LOC111984136,AT3G45970,0,0,expansin-like A1
LOC111984137,AT1G80890,0,0,No Description available
LOC111984138,AT4G14615,0,0,No Description available
LOC111984140,AT4G12350,1,0,MYB-like transcription factor ODO1
LOC111984141,--,0,0,U-box domain-containing protein 44
LOC111984142,AT4G25270,0,0,"pentatricopeptide repeat-containing protein At4g25270, chloroplastic"
LOC111984144,AT5G51540,0,0,"mitochondrial intermediate peptidase, mitochondrial"
LOC111984145,AT3G54200,0,0,late embryogenesis abundant protein At1g64065
LOC111984150,AT3G03680,0,0,multiple C2 domain and transmembrane region protein 14
LOC111984207,AT1G34575,0,0,berberine bridge enzyme-like 14
LOC111984213,AT1G30700,0,0,tetrahydroberberine oxidase
LOC111984216,AT1G04945,0,0,putative box C/D snoRNA protein SPCC613.07
LOC111984217,AT5G39110,0,0,germin-like protein subfamily 1 member 14
LOC111984218,AT4G20840,0,0,berberine bridge enzyme-like 21
LOC111984220,AT1G19230,0,0,respiratory burst oxidase homolog protein E
LOC111984221,AT1G19240,0,0,No Description available
LOC111984222,AT3G26060,0,0,"peroxiredoxin Q, chloroplastic"
LOC111984223,AT3G26060,0,0,"peroxiredoxin Q, chloroplastic"
LOC111984226,AT1G30760,0,0,monolignol oxidoreductase AtBBE-like 13
LOC111984227,AT3G11760,0,0,No Description available
LOC111984229,AT5G54260,0,0,double-strand break repair protein MRE11
LOC111984230,--,0,0,No Description available
LOC111984232,AT5G20740,0,0,pectinesterase inhibitor 3
LOC111984246,--,0,0,glycine-rich protein 23
LOC111984247,AT5G45540,0,0,No Description available
LOC111984252,AT5G24080,0,0,G-type lectin S-receptor-like serine/threonine-protein kinase LECRK3
LOC111984254,AT3G14470,0,0,putative disease resistance protein RGA4
LOC111984259,AT5G05800,0,0,No Description available
LOC111984260,AT4G17800,0,0,AT-hook motif nuclear-localized protein 23
LOC111984261,AT4G18905,0,0,No Description available
LOC111984262,AT1G48560,0,0,No Description available
LOC111984264,AT4G03460,0,0,No Description available
LOC111984270,AT1G29000,0,0,heavy metal-associated isoprenylated plant protein 4
LOC111984271,AT2G47730,0,0,glutathione S-transferase
LOC111984272,AT5G49890,0,0,chloride channel protein CLC-c
LOC111984281,AT5G23520,0,0,No Description available
LOC111984282,AT5G49160,0,0,DNA (cytosine-5)-methyltransferase 1
LOC111984283,AT4G02520,0,0,glutathione S-transferase PARB
LOC111984284,--,0,0,No Description available
LOC111984288,--,0,0,No Description available
LOC111984289,AT3G14470,0,0,putative disease resistance protein At3g14460
LOC111984290,AT2G40030,0,0,DNA-directed RNA polymerase V subunit 1
LOC111984292,AT3G53960,0,0,protein NRT1/ PTR FAMILY 5.4
LOC111984293,AT1G52520,1,0,protein FAR1-RELATED SEQUENCE 6
LOC111984294,--,0,0,No Description available
LOC111984295,AT2G25320,0,0,No Description available
LOC111984296,AT3G11710,0,0,"lysine--tRNA ligase, cytoplasmic"
LOC111984298,AT3G54440,0,0,No Description available
LOC111984299,AT2G02850,0,0,basic blue protein
LOC111984300,AT5G34850,0,0,bifunctional purple acid phosphatase 26
LOC111984301,AT5G20280,0,0,probable sucrose-phosphate synthase 1
LOC111984303,AT2G31400,0,0,"pentatricopeptide repeat-containing protein GUN1, chloroplastic"
LOC111984312,AT1G11350,0,0,G-type lectin S-receptor-like serine/threonine-protein kinase At1g11300
LOC111984320,AT3G55850,0,0,protein LONG AFTER FAR-RED 3
LOC111984321,AT1G43860,0,0,No Description available
LOC111984322,AT4G12510,0,0,14 kDa proline-rich protein DC2.15
LOC111984324,AT5G25320,0,0,ACT domain-containing protein ACR2
LOC111984325,AT3G55850,0,0,protein LONG AFTER FAR-RED 3
LOC111984326,AT4G32150,0,0,vesicle-associated membrane protein 711
LOC111984327,AT5G25800,0,0,small RNA degrading nuclease 5
LOC111984328,AT1G21450,1,0,scarecrow-like protein 1
LOC111984330,AT3G01340,0,0,protein transport protein SEC13 homolog B
LOC111984331,AT4G19950,0,0,No Description available
LOC111984332,AT2G02360,0,0,F-box protein PP2-B10
LOC111984334,AT1G17950,1,0,transcription factor MYB117
LOC111984336,AT1G53570,0,0,mitogen-activated protein kinase kinase kinase 3
LOC111984337,AT4G29850,0,0,No Description available
LOC111984338,AT1G05500,0,0,synaptotagmin-4
LOC111984339,AT2G02240,0,0,F-box protein PP2-B10
LOC111984340,AT3G54450,0,0,protein NRT1/ PTR FAMILY 5.4-like
LOC111984341,AT4G19160,0,0,No Description available
LOC111984342,AT4G34260,0,0,alpha-L-fucosidase 2
LOC111984343,AT5G53220,0,0,No Description available
LOC111984344,AT3G30340,0,0,WAT1-related protein At3g30340
LOC111984345,AT5G12330,1,0,protein LATERAL ROOT PRIMORDIUM 1-like
LOC111984347,--,0,0,receptor-like protein EIX2
LOC111984348,AT1G78950,0,0,beta-amyrin synthase
LOC111984350,AT5G36110,0,0,beta-amyrin 28-monooxygenase
LOC111984351,AT1G78955,0,0,beta-amyrin synthase
LOC111984352,AT1G78955,0,0,beta-amyrin synthase
LOC111984353,AT1G78950,0,0,beta-amyrin synthase
LOC111984354,AT1G78955,0,0,beta-amyrin synthase
LOC111984355,AT1G78980,0,0,protein STRUBBELIG-RECEPTOR FAMILY 5
LOC111984368,AT5G16800,0,1,histone acetyltransferase MCC1-like
LOC111984371,AT5G07290,0,0,protein MEI2-like 4
LOC111984372,AT1G28120,0,0,OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 1
LOC111984381,AT3G13510,0,0,protein neprosin
LOC111984382,AT3G13790,0,0,"beta-fructofuranosidase, insoluble isoenzyme CWINV1-like"
LOC111984383,--,0,0,No Description available
LOC111984387,AT5G36110,0,0,beta-amyrin 28-monooxygenase
LOC111984389,AT5G36930,0,0,disease resistance-like protein DSC1
LOC111984393,AT3G54310,0,0,No Description available
LOC111984494,AT4G11110,0,0,protein SPA1-RELATED 2
LOC111984523,AT2G36800,0,0,UDP-glycosyltransferase 73C5-like
LOC111984535,AT2G25970,0,0,No Description available
LOC111984540,AT5G35320,0,0,No Description available
LOC111984542,AT2G31490,0,0,No Description available
LOC111984543,AT3G10070,0,0,transcription initiation factor TFIID subunit 12
LOC111984544,AT2G38670,0,0,ethanolamine-phosphate cytidylyltransferase
LOC111984545,AT2G39930,0,0,"isoamylase 1, chloroplastic"
LOC111984546,AT3G21175,1,0,GATA transcription factor 19
LOC111984548,AT2G23000,0,0,serine carboxypeptidase-like 10
LOC111984549,AT2G31820,0,0,ankyrin repeat-containing protein At5g02620
LOC111984551,AT2G43950,0,0,"outer envelope pore protein 37, chloroplastic"
LOC111984552,AT2G43970,0,0,la-related protein 6B
LOC111984554,AT2G43940,0,0,probable thiol methyltransferase 2
LOC111984556,AT1G51600,1,0,GATA transcription factor 28
LOC111984557,--,0,0,No Description available
LOC111984558,AT1G33540,0,0,serine carboxypeptidase-like 13
LOC111984559,AT1G05620,0,0,probable uridine nucleosidase 2
LOC111984571,AT3G14470,0,0,putative disease resistance protein RGA3
LOC111984574,AT3G14470,0,0,putative disease resistance protein RGA3
LOC111984575,AT3G14470,0,0,putative disease resistance protein RGA3
LOC111984578,AT2G45700,0,0,DNA cross-link repair protein SNM1
LOC111984579,AT1G05630,0,0,type I inositol polyphosphate 5-phosphatase 12
LOC111984580,AT5G36110,0,0,beta-amyrin 28-monooxygenase
LOC111984581,AT2G43940,0,0,probable thiol methyltransferase 2
LOC111984583,AT2G43980,0,0,"inositol 1,3,4-trisphosphate 5/6-kinase 4"
LOC111984586,AT1G05620,0,0,probable uridine nucleosidase 2
LOC111984589,AT2G43890,0,0,polygalacturonase
LOC111984592,AT3G59850,0,0,polygalacturonase
LOC111984593,AT5G24105,0,0,arabinogalactan protein 41
LOC111984594,AT3G14470,0,0,putative disease resistance protein RGA3
LOC111984596,AT3G59870,0,0,No Description available
LOC111984597,AT3G49410,0,0,No Description available
LOC111984602,AT2G28260,0,0,protein CNGC15b
LOC111984605,AT4G26850,0,0,GDP-L-galactose phosphorylase 1
LOC111984612,AT2G28260,0,0,putative cyclic nucleotide-gated ion channel 15
LOC111984614,AT5G17190,0,0,No Description available
LOC111984615,AT1G70670,0,0,probable peroxygenase 4
LOC111984616,AT1G70660,0,0,ubiquitin-conjugating enzyme E2 variant 1B
LOC111984618,AT2G01660,0,0,plasmodesmata-located protein 6
LOC111984619,AT3G04950,0,0,No Description available
LOC111984622,AT3G25800,0,0,serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform
LOC111984623,AT1G49510,0,0,No Description available
LOC111984624,AT3G18440,0,0,aluminum-activated malate transporter 9
LOC111984625,AT1G25480,0,0,aluminum-activated malate transporter 4
LOC111984627,AT5G21140,0,0,No Description available
LOC111984628,AT3G13620,0,0,probable polyamine transporter At3g13620
LOC111984630,AT1G35660,0,0,No Description available
LOC111984631,AT2G28260,0,0,protein CNGC15b
LOC111984634,AT1G65280,0,0,No Description available
LOC111984635,AT4G09630,0,0,No Description available
LOC111984636,AT1G71940,0,0,No Description available
